"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 12 23:08:44 ICT 2021","Tue Oct 12 23:08:44 ICT 2021","318","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_17_PIN_must_have_6_digits","NC_17_PIN_must_have_6_digits",""
"passed","Tue Oct 12 23:08:55 ICT 2021","Tue Oct 12 23:08:56 ICT 2021","317","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_26_Email_must_be_correct_format","NC_26_Email_must_be_correct_format",""
"passed","Tue Oct 12 23:08:33 ICT 2021","Tue Oct 12 23:08:33 ICT 2021","373","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_10_City_Cannot_have_first_blankSpace","NC_10_City_Cannot_have_first_blankSpace",""
"passed","Tue Oct 12 23:08:32 ICT 2021","Tue Oct 12 23:08:32 ICT 2021","349","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_07_City_Field_Cannot_Be_Empty","NC_07_City_Field_Cannot_Be_Empty",""
"passed","Tue Oct 12 23:08:33 ICT 2021","Tue Oct 12 23:08:42 ICT 2021","8415","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_11_State_Cannot_be_empty","NC_11_State_Cannot_be_empty",""
"failed","Tue Oct 12 23:08:30 ICT 2021","Tue Oct 12 23:08:30 ICT 2021","327","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_02_Name_Can_Not_Be_Numeric","NC_02_Name_Can_Not_Be_Numeric",""
"passed","Tue Oct 12 23:08:56 ICT 2021","Tue Oct 12 23:08:56 ICT 2021","175","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_28_Check_all_fields_label_as_requirement","NC_28_Check_all_fields_label_as_requirement",""
"passed","Tue Oct 12 23:08:31 ICT 2021","Tue Oct 12 23:08:32 ICT 2021","319","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_06_Adress__havefirst_BlankSpace","NC_06_Adress__havefirst_BlankSpace",""
"passed","Tue Oct 12 23:08:56 ICT 2021","Tue Oct 12 23:08:56 ICT 2021","362","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_27_Email_Cannot_have_space","NC_27_Email_Cannot_have_space",""
"passed","Tue Oct 12 23:08:45 ICT 2021","Tue Oct 12 23:08:54 ICT 2021","8700","Suite","New Customer","com.bankguru.Customer.TC_01_New_Customer","com.bankguru.Customer.TC_01_New_Customer","NC_21_Telephone_Cannot_be_empty","NC_21_Telephone_Cannot_be_empty",""
